estimate,lowci,highci,true_ninty,pass,distance,obs,sd,estimator,ci
226.03638,221.1889876,231.281965,225.6,TRUE,0.43638,50,20,belitz,10.0929774
229.0609667,222.2128232,234.750533,225.6,TRUE,3.4609667,50,20,belitz,12.53770985
230.9450088,223.957712,237.3632549,225.6,TRUE,5.3450088,50,20,belitz,13.40554291
220.8249624,214.0926845,226.9169074,225.6,TRUE,4.7750376,50,20,belitz,12.82422297
227.9622973,216.1535427,231.8631918,225.6,TRUE,2.3622973,50,20,belitz,15.70964907
219.8166022,215.6291483,229.2370096,225.6,TRUE,5.7833978,50,20,belitz,13.60786132
225.0268492,216.4763509,231.8106388,225.6,TRUE,0.5731508,50,20,belitz,15.33428787
227.9462469,224.9303966,234.559396,225.6,TRUE,2.3462469,50,20,belitz,9.628999385
218.7142812,213.2720447,224.4401745,225.6,FALSE,6.8857188,50,20,belitz,11.16812978
228.0016659,212.9398619,266.06634,225.6,TRUE,2.4016659,50,20,belitz,53.12647817
219.4184927,212.5207669,230.5554021,225.6,TRUE,6.1815073,50,20,belitz,18.03463524
216.340017,212.7921639,220.4683162,225.6,FALSE,9.259983,50,20,belitz,7.676152307
228.9161404,223.668496,236.5191098,225.6,TRUE,3.3161404,50,20,belitz,12.8506138
229.9841304,223.0301088,238.1424103,225.6,TRUE,4.3841304,50,20,belitz,15.11230149
227.5009838,218.3651186,238.6289941,225.6,TRUE,1.9009838,50,20,belitz,20.26387545
229.4792387,223.1417939,235.293961,225.6,TRUE,3.8792387,50,20,belitz,12.15216709
223.4757278,217.7070049,228.344885,225.6,TRUE,2.1242722,50,20,belitz,10.6378801
230.5771124,221.4354878,237.5518528,225.6,TRUE,4.9771124,50,20,belitz,16.11636495
226.9799349,215.2418471,235.3445969,225.6,TRUE,1.3799349,50,20,belitz,20.10274982
226.3134091,219.271798,232.4132423,225.6,TRUE,0.7134091,50,20,belitz,13.14144429
229.1671876,220.5547069,237.3032676,225.6,TRUE,3.5671876,50,20,belitz,16.74856068
230.0870936,217.1815549,238.5756469,225.6,TRUE,4.4870936,50,20,belitz,21.39409202
228.7845095,218.2168269,240.5390347,225.6,TRUE,3.1845095,50,20,belitz,22.32220785
223.7531295,217.3283771,228.2652696,225.6,TRUE,1.8468705,50,20,belitz,10.93689248
223.0451576,216.2617545,233.5525326,225.6,TRUE,2.5548424,50,20,belitz,17.29077815
222.1869013,216.9107655,231.3412913,225.6,TRUE,3.4130987,50,20,belitz,14.43052576
232.8697169,226.2380566,237.7711793,225.6,FALSE,7.2697169,50,20,belitz,11.53312261
225.7162296,217.162302,232.7344681,225.6,TRUE,0.1162296,50,20,belitz,15.57216607
227.006349,217.571391,242.6353067,225.6,TRUE,1.406349,50,20,belitz,25.06391569
227.0154807,220.7592116,233.778239,225.6,TRUE,1.4154807,50,20,belitz,13.01902744
255.5200539,238.4679659,264.8191646,251.79,TRUE,3.7300539,50,40,belitz,26.35119872
236.1719428,224.3786307,247.1869025,251.79,FALSE,15.6180572,50,40,belitz,22.80827185
249.9522673,229.6587204,260.4977956,251.79,TRUE,1.8377327,50,40,belitz,30.83907517
249.4598357,236.5874162,264.9163806,251.79,TRUE,2.3301643,50,40,belitz,28.32896446
247.3939035,236.5856112,255.2267519,251.79,TRUE,4.3960965,50,40,belitz,18.64114067
258.7098629,249.1169568,275.474341,251.79,TRUE,6.9198629,50,40,belitz,26.35738413
249.340832,233.7646174,261.6602394,251.79,TRUE,2.449168,50,40,belitz,27.89562196
261.9142829,247.6950454,286.1835945,251.79,TRUE,10.1242829,50,40,belitz,38.48854914
247.7093193,225.0197588,263.8174956,251.79,TRUE,4.0806807,50,40,belitz,38.7977368
255.4769069,230.2815527,282.3136136,251.79,TRUE,3.6869069,50,40,belitz,52.03206086
259.1056906,245.4644431,282.3713748,251.79,TRUE,7.3156906,50,40,belitz,36.90693174
256.2470088,239.6015312,288.9385226,251.79,TRUE,4.4570088,50,40,belitz,49.3369914
239.4986283,226.5011559,264.6397567,251.79,TRUE,12.2913717,50,40,belitz,38.13860079
253.0743841,232.6419486,264.3226362,251.79,TRUE,1.2843841,50,40,belitz,31.68068758
264.3455606,240.4365258,281.5083629,251.79,TRUE,12.5555606,50,40,belitz,41.07183708
255.4093795,247.461416,275.5014084,251.79,TRUE,3.6193795,50,40,belitz,28.03999239
269.4165847,249.0395373,301.9521078,251.79,TRUE,17.6265847,50,40,belitz,52.91257058
248.6134131,235.8995971,259.7035552,251.79,TRUE,3.1765869,50,40,belitz,23.80395806
261.2992582,233.9129537,279.3267278,251.79,TRUE,9.5092582,50,40,belitz,45.4137741
239.7848052,223.0605962,253.3456672,251.79,TRUE,12.0051948,50,40,belitz,30.28507101
254.0190311,245.1595516,263.3948332,251.79,TRUE,2.2290311,50,40,belitz,18.23528157
255.8989983,242.5666911,272.3123625,251.79,TRUE,4.1089983,50,40,belitz,29.74567142
250.2167418,234.2593178,268.3084408,251.79,TRUE,1.5732582,50,40,belitz,34.04912304
244.3164556,236.8904519,250.148734,251.79,FALSE,7.4735444,50,40,belitz,13.25828211
261.6840915,243.9510706,268.4100032,251.79,TRUE,9.8940915,50,40,belitz,24.45893262
250.1130399,234.5931507,257.3660091,251.79,TRUE,1.6769601,50,40,belitz,22.77285845
260.4249583,244.919065,281.6122264,251.79,TRUE,8.6349583,50,40,belitz,36.69316135
250.6256771,231.1197369,277.4354131,251.79,TRUE,1.1643229,50,40,belitz,46.31567616
253.0391992,242.7937351,263.5923753,251.79,TRUE,1.2491992,50,40,belitz,20.79864026
247.5662463,237.6712502,255.6938043,251.79,TRUE,4.2237537,50,40,belitz,18.0225541
