estimate,lowci,highci,true_offset,pass,distance,obs,sd,estimator,ci
220.0897643,216.4714742,226.3808433,238.1,FALSE,-18.01023569,20,10,belitz,9.90936911
241.8577749,220.8368309,243.8721171,238.1,TRUE,3.757774908,20,10,belitz,23.03528622
233.0837443,231.4610091,233.7989511,238.1,FALSE,-5.016255704,20,10,belitz,2.337941925
246.8624644,239.8739114,253.4938832,279.35,FALSE,-32.48753555,20,20,belitz,13.61997184
289.1134661,288.6334645,291.5932258,279.35,FALSE,9.763466091,20,20,belitz,2.959761352
250.1136095,228.0741766,255.6675075,279.35,FALSE,-29.23639046,20,20,belitz,27.59333091
231.934242,231.3575682,236.4918599,279.35,FALSE,-47.41575805,20,20,belitz,5.134291726
260.1012929,252.9184605,263.25611,279.35,FALSE,-19.24870706,20,20,belitz,10.33764953
254.6895398,252.8596556,256.8729729,279.35,FALSE,-24.66046023,20,20,belitz,4.013317237
260.4314317,234.5454943,263.6204505,279.35,FALSE,-18.91856831,20,20,belitz,29.07495626
260.2493303,253.9128246,263.5646648,279.35,FALSE,-19.10066967,20,20,belitz,9.651840187
236.3895464,233.5436367,240.3631314,279.35,FALSE,-42.96045357,20,20,belitz,6.819494748
237.6134744,232.632498,241.3202164,279.35,FALSE,-41.73652561,20,20,belitz,8.687718399
238.4164136,233.7042294,243.6421202,279.35,FALSE,-40.93358635,20,20,belitz,9.937890837
242.9035749,240.4310115,246.8639445,279.35,FALSE,-36.4464251,20,20,belitz,6.432933033
265.3475625,257.3007771,272.0846578,279.35,FALSE,-14.00243749,20,20,belitz,14.78388068
247.8075251,240.752336,252.3470373,279.35,FALSE,-31.54247487,20,20,belitz,11.59470131
240.2975862,235.5131592,246.7107425,279.35,FALSE,-39.05241376,20,20,belitz,11.19758331
259.8140334,256.6135988,261.4366395,279.35,FALSE,-19.53596657,20,20,belitz,4.823040713
238.4676546,229.6015263,246.0490427,279.35,FALSE,-40.88234542,20,20,belitz,16.44751645
262.7602605,264.5423173,264.5423173,279.35,FALSE,-16.58973947,20,20,belitz,0
255.9040792,251.9721617,260.9255011,279.35,FALSE,-23.44592083,20,20,belitz,8.953339412
285.8716529,279.0964369,288.7409028,279.35,TRUE,6.521652887,20,20,belitz,9.644465827
247.4264289,246.0491865,251.3355848,279.35,FALSE,-31.92357108,20,20,belitz,5.28639832
242.7814107,232.5188652,247.3352118,279.35,FALSE,-36.56858925,20,20,belitz,14.81634662
271.8019923,267.9737271,277.2492502,279.35,FALSE,-7.548007706,20,20,belitz,9.275523057
252.4095535,246.2214369,257.9251492,279.35,FALSE,-26.94044654,20,20,belitz,11.70371229
238.1610859,231.4173548,244.7546985,279.35,FALSE,-41.18891406,20,20,belitz,13.33734371
246.3774359,241.7662935,251.7693961,279.35,FALSE,-32.97256409,20,20,belitz,10.00310266
273.6876797,258.2329924,278.0771498,279.35,FALSE,-5.662320266,20,20,belitz,19.84415744
264.0203061,258.3438865,269.0456287,279.35,FALSE,-15.32969395,20,20,belitz,10.70174228
244.8011728,242.0563027,248.4949103,279.35,FALSE,-34.54882723,20,20,belitz,6.438607576
273.3582845,266.5924187,279.2140524,279.35,FALSE,-5.99171551,20,20,belitz,12.62163367
288.2899473,275.680909,297.6257263,361.38,FALSE,-73.09005268,20,40,belitz,21.94481732
342.9090447,329.8713305,345.9756634,361.38,FALSE,-18.47095533,20,40,belitz,16.10433283
297.3468797,286.6989158,306.2352109,361.38,FALSE,-64.03312026,20,40,belitz,19.53629511
255.4061933,240.6892453,261.6126676,361.38,FALSE,-105.9738067,20,40,belitz,20.92342228
287.7120148,281.9330457,293.5192736,361.38,FALSE,-73.66798523,20,40,belitz,11.58622786
349.1861636,342.5337469,352.4304694,361.38,FALSE,-12.19383642,20,40,belitz,9.89672251
311.76303,311.7116288,NA,361.38,NA,-49.61697003,20,40,belitz,NA
290.837149,277.9853698,297.0169847,361.38,FALSE,-70.54285099,20,40,belitz,19.03161484
323.3746797,276.8181972,330.0698073,361.38,FALSE,-38.00532031,20,40,belitz,53.25161005
278.0326842,269.0648002,294.2681727,361.38,FALSE,-83.34731583,20,40,belitz,25.20337252
284.9663807,226.8875122,295.7931692,361.38,FALSE,-76.41361928,20,40,belitz,68.90565701
323.6208304,284.568434,333.5925199,361.38,FALSE,-37.75916963,20,40,belitz,49.0240859
316.6798003,253.0270518,325.9795471,361.38,FALSE,-44.70019973,20,40,belitz,72.95249531
291.7763959,286.1873051,298.35099,361.38,FALSE,-69.60360406,20,40,belitz,12.16368487
302.9871305,291.7261421,310.8189501,361.38,FALSE,-58.39286945,20,40,belitz,19.09280806
299.2600842,289.1093423,313.6600477,361.38,FALSE,-62.11991584,20,40,belitz,24.55070543
309.622069,299.0130835,316.3550036,361.38,FALSE,-51.75793099,20,40,belitz,17.34192005
267.8048993,243.1909914,278.3680068,361.38,FALSE,-93.57510072,20,40,belitz,35.17701537
330.5739989,322.0850475,341.8986153,361.38,FALSE,-30.80600113,20,40,belitz,19.81356785
300.050718,289.8482933,307.1774066,361.38,FALSE,-61.32928196,20,40,belitz,17.32911327
290.1994169,281.3804196,301.6577247,361.38,FALSE,-71.1805831,20,40,belitz,20.2773051
275.9306076,270.1349479,281.0813529,361.38,FALSE,-85.44939237,20,40,belitz,10.94640498
323.2591769,313.3958013,328.0996685,361.38,FALSE,-38.1208231,20,40,belitz,14.70386724
283.1741414,274.28122,292.4411088,361.38,FALSE,-78.20585859,20,40,belitz,18.15988874
302.7606237,264.4615305,309.6872075,361.38,FALSE,-58.61937632,20,40,belitz,45.22567703
282.4970129,258.9186319,287.1731479,361.38,FALSE,-78.88298709,20,40,belitz,28.25451592
330.7954169,328.8292243,339.5490509,361.38,FALSE,-30.58458312,20,40,belitz,10.71982659
297.5125244,289.1718431,300.5620739,361.38,FALSE,-63.86747562,20,40,belitz,11.39023079
293.291581,288.1359597,298.5989792,361.38,FALSE,-68.08841904,20,40,belitz,10.4630196
270.1467403,264.2552808,283.6741221,361.38,FALSE,-91.23325969,20,40,belitz,19.41884126
240.7742451,239.1420536,242.6971878,238.1,FALSE,2.674245073,50,10,belitz,3.555134203
240.1970402,237.398873,243.5755558,238.1,TRUE,2.097040188,50,10,belitz,6.176682777
229.874897,213.8554308,231.9311526,238.1,FALSE,-8.225102981,50,10,belitz,18.07572181
243.4318897,239.9842017,245.5229033,238.1,FALSE,5.331889701,50,10,belitz,5.538701657
235.3037485,233.5172929,238.8515085,238.1,TRUE,-2.796251474,50,10,belitz,5.334215583
251.3471513,248.4054339,253.3839981,238.1,FALSE,13.24715128,50,10,belitz,4.97856419
243.2016428,242.4748059,244.8298586,238.1,FALSE,5.101642789,50,10,belitz,2.355052614
233.2071006,223.3304447,235.6300116,238.1,FALSE,-4.892899422,50,10,belitz,12.29956688
237.3388328,236.3090206,238.3951735,238.1,TRUE,-0.761167239,50,10,belitz,2.086152939
240.4866726,221.1848241,242.804684,238.1,TRUE,2.38667257,50,10,belitz,21.61985993
229.4352117,224.3739171,232.9753024,238.1,FALSE,-8.66478831,50,10,belitz,8.601385326
228.3941894,221.0606927,233.1495481,238.1,FALSE,-9.705810561,50,10,belitz,12.08885535
235.1984693,230.8470599,238.604477,238.1,TRUE,-2.901530719,50,10,belitz,7.757417131
235.9943813,231.1595706,240.2154566,238.1,TRUE,-2.105618708,50,10,belitz,9.055885997
244.3031733,242.4578431,245.8984325,238.1,FALSE,6.20317329,50,10,belitz,3.440589394
224.4302527,220.0609737,230.5443159,238.1,FALSE,-13.66974726,50,10,belitz,10.48334213
241.4564718,238.4749137,243.4406524,238.1,FALSE,3.356471822,50,10,belitz,4.965738651
242.1385954,224.2414806,244.2950691,238.1,TRUE,4.038595438,50,10,belitz,20.05358849
222.4564667,219.8533436,227.1030524,238.1,FALSE,-15.64353329,50,10,belitz,7.24970877
228.3726409,218.7247094,232.4119441,238.1,FALSE,-9.727359113,50,10,belitz,13.68723469
228.3992313,223.9331651,230.8283509,238.1,FALSE,-9.700768669,50,10,belitz,6.895185765
251.6581782,250.9689104,251.8486004,238.1,FALSE,13.55817819,50,10,belitz,0.87969007
230.8796806,220.849582,233.5819469,238.1,FALSE,-7.220319358,50,10,belitz,12.73236486
236.1965805,234.4481049,237.1324701,238.1,FALSE,-1.903419452,50,10,belitz,2.684365216
232.063069,227.509013,236.9155512,238.1,FALSE,-6.036930983,50,10,belitz,9.406538201
232.2005912,228.3165675,235.275074,238.1,FALSE,-5.899408765,50,10,belitz,6.958506477
237.4260288,231.2851046,240.6114097,238.1,TRUE,-0.673971178,50,10,belitz,9.326305047
241.5776881,241.0544329,242.1265772,238.1,FALSE,3.477688056,50,10,belitz,1.072144321
244.9476323,244.4294915,246.7057111,238.1,FALSE,6.847632343,50,10,belitz,2.276219644
232.017778,223.6564396,237.39799,238.1,FALSE,-6.082221962,50,10,belitz,13.74155042
261.6014886,251.9922815,266.3223238,279.35,FALSE,-17.74851145,50,20,belitz,14.33004232
265.3546892,248.4223671,268.7720811,279.35,FALSE,-13.99531076,50,20,belitz,20.34971402
264.7903845,253.263416,271.9477275,279.35,FALSE,-14.55961549,50,20,belitz,18.68431145
252.6771771,249.5179363,255.4478365,279.35,FALSE,-26.67282286,50,20,belitz,5.929900276
262.8735197,242.3323793,268.1268501,279.35,FALSE,-16.47648033,50,20,belitz,25.79447077
254.6714656,245.491937,259.222553,279.35,FALSE,-24.67853441,50,20,belitz,13.73061602
265.1956352,259.3138259,271.9577175,279.35,FALSE,-14.15436485,50,20,belitz,12.64389167
254.6958022,250.111505,263.8945922,279.35,FALSE,-24.6541978,50,20,belitz,13.78308714
251.8643318,249.9186529,255.7697254,279.35,FALSE,-27.48566818,50,20,belitz,5.851072415
307.7265352,299.3402162,313.5287665,279.35,FALSE,28.37653517,50,20,belitz,14.18855036
265.831494,263.5786986,269.1122197,279.35,FALSE,-13.518506,50,20,belitz,5.533521082
242.4707059,232.6694603,245.8211782,279.35,FALSE,-36.87929412,50,20,belitz,13.1517179
261.4526391,257.9744145,267.8487498,279.35,FALSE,-17.89736091,50,20,belitz,9.874335261
268.8459192,264.6952437,272.6576988,279.35,FALSE,-10.50408077,50,20,belitz,7.962455151
265.8046984,260.5273438,268.5474413,279.35,FALSE,-13.54530163,50,20,belitz,8.020097497
260.267685,257.3510689,267.8622193,279.35,FALSE,-19.08231505,50,20,belitz,10.51115044
249.9960231,239.6350116,256.9665546,279.35,FALSE,-29.35397694,50,20,belitz,17.33154294
257.8947173,253.5147949,265.1201272,279.35,FALSE,-21.45528274,50,20,belitz,11.60533233
269.5416801,265.3696631,274.7696854,279.35,FALSE,-9.80831993,50,20,belitz,9.40002237
264.2364333,263.2568177,267.4698182,279.35,FALSE,-15.11356672,50,20,belitz,4.213000505
264.0081541,258.9418704,268.5791677,279.35,FALSE,-15.34184586,50,20,belitz,9.637297271
273.2606084,266.7793362,279.3002904,279.35,FALSE,-6.089391597,50,20,belitz,12.5209542
276.5825145,256.748799,283.0407699,279.35,TRUE,-2.767485498,50,20,belitz,26.29197088
258.913192,252.5546543,263.1457654,279.35,FALSE,-20.43680802,50,20,belitz,10.59111113
258.1672428,253.8575507,264.8236231,279.35,FALSE,-21.18275718,50,20,belitz,10.96607238
260.0339574,257.6106925,264.1358505,279.35,FALSE,-19.31604263,50,20,belitz,6.525157986
269.318507,248.8345305,276.2986948,279.35,FALSE,-10.03149301,50,20,belitz,27.46416428
263.0735688,258.9545475,269.2449535,279.35,FALSE,-16.27643124,50,20,belitz,10.29040597
288.8498688,285.7732074,292.2524048,279.35,FALSE,9.499868762,50,20,belitz,6.479197425
258.0142829,246.669534,264.8063162,279.35,FALSE,-21.33571709,50,20,belitz,18.13678228
315.2768385,287.6238738,319.4737688,361.38,FALSE,-46.10316148,50,40,belitz,31.84989502
275.4212909,262.5070486,284.7307011,361.38,FALSE,-85.95870912,50,40,belitz,22.22365251
289.6037861,284.3924026,295.9893012,361.38,FALSE,-71.77621385,50,40,belitz,11.59689863
