estimate,lowci,highci,true_onset,pass,distance,obs,sd,estimator,ci
160.7578811,154.482825,177.6982107,162.68,TRUE,-1.922118897,50,10,belitz,23.21538566
173.8739437,169.7351391,179.9562954,162.68,FALSE,11.19394368,50,10,belitz,10.22115636
163.6392292,157.8317964,167.1139742,162.68,TRUE,0.959229205,50,10,belitz,9.282177745
170.8702213,167.590382,174.9839162,162.68,FALSE,8.190221273,50,10,belitz,7.393534265
153.7314767,150.0205366,157.357833,162.68,FALSE,-8.948523322,50,10,belitz,7.337296427
158.6500513,143.6291573,174.8920416,162.68,TRUE,-4.029948667,50,10,belitz,31.26288424
168.2770827,163.9315623,174.7265571,162.68,FALSE,5.597082705,50,10,belitz,10.79499486
173.1828261,168.4203319,180.927351,162.68,FALSE,10.50282606,50,10,belitz,12.50701912
178.2546186,173.6019506,183.219457,162.68,FALSE,15.57461862,50,10,belitz,9.617506437
173.5092831,168.8325435,181.7294493,162.68,FALSE,10.82928313,50,10,belitz,12.8969058
165.1185879,159.5911461,181.4775872,162.68,TRUE,2.438587862,50,10,belitz,21.88644109
167.4707324,159.2689748,180.6769389,162.68,TRUE,4.790732409,50,10,belitz,21.40796407
179.7492049,175.1177902,180.3030501,162.68,FALSE,17.06920491,50,10,belitz,5.185259872
159.6678401,154.9871497,182.4597041,162.68,TRUE,-3.012159904,50,10,belitz,27.47255439
136.8016551,127.7606389,155.5961898,119.92,FALSE,16.8816551,50,20,belitz,27.83555086
158.1605109,147.7660837,162.7196612,119.92,FALSE,38.2405109,50,20,belitz,14.95357746
156.9508468,153.8160113,159.2673947,119.92,FALSE,37.03084679,50,20,belitz,5.451383403
161.4821465,157.6568517,169.8584278,119.92,FALSE,41.56214646,50,20,belitz,12.20157605
142.5165176,134.7658292,146.5337835,119.92,FALSE,22.59651761,50,20,belitz,11.76795433
145.4310535,138.8767744,156.4060491,119.92,FALSE,25.51105352,50,20,belitz,17.52927463
154.7390581,149.2858562,164.8336485,119.92,FALSE,34.81905808,50,20,belitz,15.54779227
143.8170186,137.9380759,150.3574553,119.92,FALSE,23.89701856,50,20,belitz,12.41937937
150.5557417,143.5002032,154.764592,119.92,FALSE,30.63574171,50,20,belitz,11.26438878
142.6780196,128.8135091,164.7137431,119.92,FALSE,22.75801965,50,20,belitz,35.90023394
164.6406892,160.5850539,169.6439062,119.92,FALSE,44.72068924,50,20,belitz,9.058852303
138.2916698,132.535091,155.559952,119.92,FALSE,18.37166981,50,20,belitz,23.02486105
167.0647961,164.5178507,168.204127,119.92,FALSE,47.14479605,50,20,belitz,3.686276248
175.235564,172.2323799,175.5979889,119.92,FALSE,55.31556404,50,20,belitz,3.365609011
