polyids,year,weib10,high_ci.x,low_ci.x,SciName,left,bottom,right,top,long_centroid,lat_centroid,onset,high_ci.y,low_ci.y,,,,,,
43,2018,144.8852825,163.2506217,121.8215349,Epargyreus clarus,-87,36,-86,37,-86.5,36.5,128.9326978,140.5225132,85.59109995,,,,,,
46,2017,167.918015,185.9646103,142.2852636,Epargyreus clarus,-87,39,-86,40,-86.5,39.5,145.4307167,153.6764935,117.6431868,,,,,,
46,2018,161.4535561,178.4083946,142.0207858,Epargyreus clarus,-87,39,-86,40,-86.5,39.5,146.5470862,152.819404,124.3684294,,,,,,
51,2018,179.0886702,217.1233505,149.9653946,Epargyreus clarus,-86,38,-85,39,-85.5,38.5,144.9134962,165.5731719,59.46448291,,,,,,
58,2016,192.6131339,221.4780644,146.4511949,Epargyreus clarus,-85,39,-84,40,-84.5,39.5,143.5322643,161.5225435,67.52559818,,,,,,
58,2017,150.3376473,183.0646575,119.6569868,Epargyreus clarus,-85,39,-84,40,-84.5,39.5,98.31805869,120.2099993,23.44438252,,,,,,
58,2018,157.0086436,167.744113,146.0868066,Epargyreus clarus,-85,39,-84,40,-84.5,39.5,149.786094,151.9563527,142.827999,,,,,,
64,2018,169.605577,196.3105628,115.3781508,Epargyreus clarus,-84,39,-83,40,-83.5,39.5,71.36591033,116.4161065,-147.514588,,,,,,
65,2018,183.3405232,210.6617705,163.9150523,Epargyreus clarus,-84,40,-83,41,-83.5,40.5,179.066058,185.8344307,149.8122943,,,,,,
66,2017,157.3337795,174.5079447,136.9383765,Epargyreus clarus,-84,41,-83,42,-83.5,41.5,144.7060401,154.6144755,105.7434965,,,,,,
66,2018,155.7379231,174.5560174,134.4828153,Epargyreus clarus,-84,41,-83,42,-83.5,41.5,139.5953718,146.7680747,114.9666437,,,,,,
67,2017,168.6211575,189.2479882,133.8770321,Epargyreus clarus,-83,36,-82,37,-82.5,36.5,98.91119303,126.4519383,-25.2561952,,,,,,
70,2018,171.4642328,187.4760002,142.2664591,Epargyreus clarus,-83,39,-82,40,-82.5,39.5,121.6620756,142.4920079,41.49395148,,,,,,
71,2018,171.3178987,194.1253105,152.0185099,Epargyreus clarus,-83,40,-82,41,-82.5,40.5,145.0518031,158.7951869,100.1817144,,,,,,
72,2012,141.3502252,188.4885739,106.4196221,Epargyreus clarus,-83,41,-82,42,-82.5,41.5,118.9489536,133.3029775,54.43537674,,,,,,
72,2018,144.4873716,178.2673587,109.3265347,Epargyreus clarus,-83,41,-82,42,-82.5,41.5,89.77996095,114.3109636,9.388120402,,,,,,
21,2018,210.9352498,233.0428606,174.1018486,Polygonia interrogationis,-91,38,-90,39,-90.5,38.5,131.535088,158.9353009,-10.30741033,,,,,,
42,2015,152.1784581,172.8564734,122.3966533,Polygonia interrogationis,-88,41,-87,42,-87.5,41.5,130.509758,145.3735504,70.2135509,,,,,,
42,2017,120.2922811,144.4545162,94.44673767,Polygonia interrogationis,-88,41,-87,42,-87.5,41.5,99.8739962,104.9235633,79.22460723,,,,,,
42,2018,160.5247303,173.0872829,142.6703548,Polygonia interrogationis,-88,41,-87,42,-87.5,41.5,114.8546334,126.1551953,74.4176371,,,,,,
43,2018,160.955651,194.9830996,127.6776357,Polygonia interrogationis,-87,36,-86,37,-86.5,36.5,123.8467621,139.8655158,70.33182654,,,,,,
58,2017,102.6871973,136.4276895,67.5898635,Polygonia interrogationis,-85,39,-84,40,-84.5,39.5,79.34465727,91.71925243,22.68311252,,,,,,
58,2018,194.9301803,216.7054237,171.4739883,Polygonia interrogationis,-85,39,-84,40,-84.5,39.5,176.5409019,186.4291665,141.806369,,,,,,
66,2018,159.9136885,177.6297664,144.7117075,Polygonia interrogationis,-84,41,-83,42,-83.5,41.5,159.6333925,165.8445768,132.9332555,,,,,,
70,2018,172.6078751,203.9561644,115.5103178,Polygonia interrogationis,-83,39,-82,40,-82.5,39.5,41.87367701,85.94075416,-207.9909773,,,,,,
72,2012,95.74163194,112.5719936,83.4290275,Polygonia interrogationis,-83,41,-82,42,-82.5,41.5,104.2500752,106.9785718,91.67164316,,,,,,
