perc,naive,known,obs,sd
unimodal tenth,197.4029454,187,10,10
unimodal tenth,192.5544651,187,10,10
unimodal tenth,189.6729582,187,10,10
unimodal tenth,187.8477302,187,10,10
unimodal tenth,186.8915317,187,10,10
unimodal tenth,188.9996159,187,10,10
unimodal tenth,177.3256023,187,10,10
unimodal tenth,190.7562771,187,10,10
unimodal tenth,189.5792591,187,10,10
unimodal tenth,195.9961174,187,10,10
unimodal tenth,193.1380948,187,10,10
unimodal tenth,190.2092899,187,10,10
unimodal tenth,180.1079905,187,10,10
unimodal tenth,182.2099638,187,10,10
unimodal tenth,183.3198457,187,10,10
unimodal tenth,194.1843829,187,10,10
unimodal tenth,191.4499112,187,10,10
unimodal tenth,191.6680198,187,10,10
unimodal tenth,186.0942859,187,10,10
unimodal tenth,189.1119358,187,10,10
unimodal tenth,189.4889093,187,10,10
unimodal tenth,191.0997351,187,10,10
unimodal tenth,184.2165775,187,10,10
unimodal tenth,180.9477271,187,10,10
unimodal tenth,190.5046272,187,10,10
unimodal tenth,187.5877487,187,10,10
unimodal tenth,190.7008535,187,10,10
unimodal tenth,161.9118102,175,10,20
unimodal tenth,179.3035323,175,10,20
unimodal tenth,177.4580206,175,10,20
unimodal tenth,168.9669508,175,10,20
unimodal tenth,182.3902449,175,10,20
unimodal tenth,185.4972971,175,10,20
unimodal tenth,172.9265201,175,10,20
unimodal tenth,182.3339356,175,10,20
unimodal tenth,178.7691943,175,10,20
unimodal tenth,183.8177385,175,10,20
unimodal tenth,182.6424432,175,10,20
unimodal tenth,175.6518622,175,10,20
unimodal tenth,184.8448633,175,10,20
unimodal tenth,178.1290259,175,10,20
unimodal tenth,179.1346473,175,10,20
unimodal tenth,164.6411106,175,10,20
unimodal tenth,176.7271029,175,10,20
unimodal tenth,163.7958536,175,10,20
unimodal tenth,189.2193732,175,10,20
unimodal tenth,185.4247575,175,10,20
unimodal tenth,177.0224343,175,10,20
unimodal tenth,177.7911201,175,10,20
unimodal tenth,166.6909922,175,10,20
unimodal tenth,182.4302345,175,10,20
unimodal tenth,179.320048,175,10,20
unimodal tenth,180.9669003,175,10,20
unimodal tenth,181.97827,175,10,20
unimodal tenth,192.0386459,175,10,20
unimodal tenth,183.6700389,175,10,20
unimodal tenth,163.9540133,175,10,20
unimodal tenth,168.5369556,149,10,40
unimodal tenth,158.1700467,149,10,40
unimodal tenth,156.2603083,149,10,40
unimodal tenth,164.5532392,149,10,40
unimodal tenth,170.4582775,149,10,40
unimodal tenth,171.3160622,149,10,40
unimodal tenth,159.5862556,149,10,40
unimodal tenth,190.149047,149,10,40
unimodal tenth,151.2497163,149,10,40
unimodal tenth,160.1765151,149,10,40
unimodal tenth,167.993481,149,10,40
unimodal tenth,146.6560756,149,10,40
unimodal tenth,146.2312267,149,10,40
unimodal tenth,165.438641,149,10,40
unimodal tenth,169.2185733,149,10,40
unimodal tenth,173.8165333,149,10,40
unimodal tenth,166.3388207,149,10,40
unimodal tenth,130.3509983,149,10,40
unimodal tenth,124.9566092,149,10,40
unimodal tenth,137.4003442,149,10,40
unimodal tenth,160.6160142,149,10,40
unimodal tenth,143.7705448,149,10,40
unimodal tenth,162.5363055,149,10,40
unimodal tenth,174.5422771,149,10,40
unimodal tenth,161.8448308,149,10,40
unimodal tenth,162.5881097,149,10,40
unimodal tenth,155.5431869,149,10,40
unimodal tenth,177.8193865,149,10,40
unimodal tenth,183.3100811,149,10,40
unimodal tenth,141.5706923,149,10,40
unimodal tenth,185.6195618,187,20,10
unimodal tenth,189.6108952,187,20,10
unimodal tenth,186.0374315,187,20,10
unimodal tenth,180.1463209,187,20,10
unimodal tenth,186.2920259,187,20,10
unimodal tenth,192.8031382,187,20,10
unimodal tenth,188.5961567,187,20,10
unimodal tenth,189.3535805,187,20,10
unimodal tenth,193.3072227,187,20,10
unimodal tenth,197.067434,187,20,10
unimodal tenth,188.339873,187,20,10
unimodal tenth,189.6099649,187,20,10
unimodal tenth,195.5592205,187,20,10
unimodal tenth,185.5741633,187,20,10
unimodal tenth,188.0989101,187,20,10
unimodal tenth,191.2964557,187,20,10
unimodal tenth,185.9320091,187,20,10
unimodal tenth,195.0935115,187,20,10
unimodal tenth,193.1069863,187,20,10
unimodal tenth,186.5654551,187,20,10
unimodal tenth,192.587384,187,20,10
unimodal tenth,185.2594736,187,20,10
unimodal tenth,187.3858264,187,20,10
unimodal tenth,191.3150443,187,20,10
unimodal tenth,189.3732995,187,20,10
unimodal tenth,186.6496071,187,20,10
unimodal tenth,184.281648,187,20,10
unimodal tenth,190.7443086,187,20,10
unimodal tenth,186.1821189,187,20,10
unimodal tenth,191.0492966,187,20,10
unimodal tenth,182.6061512,175,20,20
unimodal tenth,155.397058,175,20,20
unimodal tenth,169.3993328,175,20,20
unimodal tenth,181.5025681,175,20,20
unimodal tenth,173.0222715,175,20,20
unimodal tenth,174.816759,175,20,20
unimodal tenth,171.6725723,175,20,20
unimodal tenth,167.7945609,175,20,20
unimodal tenth,182.5699454,175,20,20
unimodal tenth,168.1873418,175,20,20
unimodal tenth,185.1119661,175,20,20
unimodal tenth,164.7779144,175,20,20
unimodal tenth,180.534021,175,20,20
unimodal tenth,183.7886282,175,20,20
unimodal tenth,169.3109176,175,20,20
unimodal tenth,176.9761077,175,20,20
unimodal tenth,185.6424008,175,20,20
unimodal tenth,182.9404712,175,20,20
unimodal tenth,175.5661441,175,20,20
unimodal tenth,176.8832549,175,20,20
unimodal tenth,180.1818143,175,20,20
unimodal tenth,189.9935475,175,20,20
unimodal tenth,178.4154729,175,20,20
unimodal tenth,182.9246319,175,20,20
unimodal tenth,184.2611336,175,20,20
unimodal tenth,185.1636565,175,20,20
unimodal tenth,183.9561366,175,20,20
unimodal tenth,173.426266,175,20,20
unimodal tenth,180.1535561,175,20,20
unimodal tenth,180.1347916,175,20,20
unimodal tenth,172.0046783,149,20,40
unimodal tenth,145.9614028,149,20,40
unimodal tenth,158.046392,149,20,40
unimodal tenth,181.9857988,149,20,40
unimodal tenth,158.2382339,149,20,40
unimodal tenth,179.6375296,149,20,40
unimodal tenth,179.3932686,149,20,40
unimodal tenth,166.7512084,149,20,40
unimodal tenth,168.9084159,149,20,40
unimodal tenth,163.4560495,149,20,40
unimodal tenth,180.5379609,149,20,40
unimodal tenth,180.244992,149,20,40
unimodal tenth,163.3147619,149,20,40
unimodal tenth,143.3399094,149,20,40
unimodal tenth,156.6775404,149,20,40
unimodal tenth,140.9462731,149,20,40
unimodal tenth,156.0074874,149,20,40
unimodal tenth,133.3147086,149,20,40
unimodal tenth,168.4979754,149,20,40
unimodal tenth,149.8100371,149,20,40
unimodal tenth,165.7157808,149,20,40
unimodal tenth,153.003839,149,20,40
unimodal tenth,154.8097438,149,20,40
unimodal tenth,160.4289957,149,20,40
unimodal tenth,145.8989634,149,20,40
unimodal tenth,174.7936768,149,20,40
unimodal tenth,134.5253798,149,20,40
unimodal tenth,172.1105892,149,20,40
unimodal tenth,167.9880899,149,20,40
unimodal tenth,136.4495926,149,20,40
unimodal tenth,187.2075252,187,50,10
unimodal tenth,190.8180926,187,50,10
unimodal tenth,188.5474979,187,50,10
unimodal tenth,188.933944,187,50,10
unimodal tenth,189.6947873,187,50,10
unimodal tenth,188.4219446,187,50,10
unimodal tenth,190.5107196,187,50,10
unimodal tenth,187.3539272,187,50,10
unimodal tenth,184.5447349,187,50,10
unimodal tenth,186.5117187,187,50,10
unimodal tenth,185.8465026,187,50,10
unimodal tenth,189.904424,187,50,10
unimodal tenth,187.5823282,187,50,10
unimodal tenth,190.5375447,187,50,10
unimodal tenth,183.9179248,187,50,10
unimodal tenth,189.0816986,187,50,10
unimodal tenth,190.2492305,187,50,10
unimodal tenth,188.054012,187,50,10
unimodal tenth,188.8292178,187,50,10
unimodal tenth,191.0455883,187,50,10
unimodal tenth,183.3199374,187,50,10
unimodal tenth,189.0415724,187,50,10
unimodal tenth,187.3632551,187,50,10
unimodal tenth,185.8678675,187,50,10
unimodal tenth,192.0507023,187,50,10
unimodal tenth,188.6710307,187,50,10
unimodal tenth,190.8916096,187,50,10
unimodal tenth,188.43974,187,50,10
unimodal tenth,188.3993768,187,50,10
unimodal tenth,183.5909335,187,50,10
unimodal tenth,170.8124868,175,50,20
unimodal tenth,173.8505778,175,50,20
unimodal tenth,169.8758466,175,50,20
unimodal tenth,178.7347839,175,50,20
unimodal tenth,179.3443546,175,50,20
unimodal tenth,181.7782524,175,50,20
unimodal tenth,172.8632652,175,50,20
unimodal tenth,174.0413969,175,50,20
unimodal tenth,176.3459498,175,50,20
unimodal tenth,173.4183459,175,50,20
unimodal tenth,169.5401502,175,50,20
unimodal tenth,184.2700467,175,50,20
unimodal tenth,172.6941563,175,50,20
unimodal tenth,178.6042098,175,50,20
unimodal tenth,179.7215113,175,50,20
unimodal tenth,168.5444977,175,50,20
unimodal tenth,169.9574694,175,50,20
unimodal tenth,176.9210868,175,50,20
unimodal tenth,175.8588532,175,50,20
unimodal tenth,173.2227119,175,50,20
unimodal tenth,168.4511092,175,50,20
unimodal tenth,176.7066987,175,50,20
unimodal tenth,177.5469074,175,50,20
unimodal tenth,179.0940494,175,50,20
unimodal tenth,173.2947741,175,50,20
unimodal tenth,172.1789983,175,50,20
unimodal tenth,182.8627137,175,50,20
unimodal tenth,182.691594,175,50,20
unimodal tenth,181.9741613,175,50,20
unimodal tenth,177.3347969,175,50,20
unimodal tenth,165.9678165,149,50,40
unimodal tenth,170.4846385,149,50,40
unimodal tenth,140.746819,149,50,40
unimodal tenth,154.537151,149,50,40
unimodal tenth,168.5011088,149,50,40
unimodal tenth,163.4927652,149,50,40
unimodal tenth,148.144786,149,50,40
unimodal tenth,155.5469947,149,50,40
unimodal tenth,154.8154775,149,50,40
unimodal tenth,166.522174,149,50,40
unimodal tenth,162.3076894,149,50,40
unimodal tenth,135.7832787,149,50,40
unimodal tenth,157.1213955,149,50,40
unimodal tenth,133.6997919,149,50,40
unimodal tenth,161.1454167,149,50,40
unimodal tenth,153.4442466,149,50,40
unimodal tenth,159.1250726,149,50,40
unimodal tenth,158.8690115,149,50,40
unimodal tenth,168.5534191,149,50,40
unimodal tenth,159.8597663,149,50,40
unimodal tenth,148.8187896,149,50,40
unimodal tenth,148.8615551,149,50,40
unimodal tenth,142.1210488,149,50,40
unimodal tenth,170.0159266,149,50,40
unimodal tenth,126.4164521,149,50,40
unimodal tenth,133.7746177,149,50,40
unimodal tenth,142.7336924,149,50,40
unimodal tenth,149.2464543,149,50,40
unimodal tenth,145.2350405,149,50,40
unimodal tenth,157.915651,149,50,40
unimodal median,199.0239171,200,10,10
unimodal median,195.9960548,200,10,10
unimodal median,198.9296595,200,10,10
unimodal median,204.4936371,200,10,10
unimodal median,198.7700569,200,10,10
unimodal median,203.0791816,200,10,10
unimodal median,199.9119803,200,10,10
unimodal median,206.8261656,200,10,10
unimodal median,197.9251676,200,10,10
unimodal median,202.9904422,200,10,10
unimodal median,199.3473185,200,10,10
unimodal median,201.1761238,200,10,10
unimodal median,202.2807028,200,10,10
unimodal median,204.4039647,200,10,10
unimodal median,197.4846201,200,10,10
unimodal median,195.6705519,200,10,10
unimodal median,194.9005983,200,10,10
unimodal median,198.9698459,200,10,10
unimodal median,198.6716262,200,10,10
unimodal median,199.2999189,200,10,10
unimodal median,201.6122181,200,10,10
unimodal median,203.8082032,200,10,10
unimodal median,203.0522416,200,10,10
unimodal median,199.1648204,200,10,10
unimodal median,198.5856979,200,10,10
unimodal median,203.0266943,200,10,10
unimodal median,194.872366,200,10,10
unimodal median,199.3213506,200,10,10
unimodal median,199.5858063,200,10,10
unimodal median,197.5264362,200,10,10
unimodal median,183.9207823,200,10,20
unimodal median,194.7876803,200,10,20
unimodal median,196.0484023,200,10,20
unimodal median,193.0627763,200,10,20
unimodal median,213.4679731,200,10,20
unimodal median,193.8155406,200,10,20
unimodal median,217.5226361,200,10,20
unimodal median,196.6601797,200,10,20
unimodal median,193.1720697,200,10,20
unimodal median,199.4351107,200,10,20
unimodal median,196.3652605,200,10,20
unimodal median,202.0448327,200,10,20
unimodal median,203.5577573,200,10,20
unimodal median,203.1846014,200,10,20
unimodal median,204.7518597,200,10,20
unimodal median,187.7966589,200,10,20
unimodal median,193.8450343,200,10,20
unimodal median,190.2868195,200,10,20
unimodal median,207.9627629,200,10,20
unimodal median,209.3752957,200,10,20
unimodal median,203.1927046,200,10,20
unimodal median,197.9674948,200,10,20
unimodal median,194.2952885,200,10,20
unimodal median,192.0888978,200,10,20
unimodal median,202.5945883,200,10,20
unimodal median,201.8421499,200,10,20
unimodal median,202.7989075,200,10,20
unimodal median,201.4378424,200,10,20
unimodal median,199.4976577,200,10,20
unimodal median,189.2358671,200,10,20
unimodal median,188.5496573,200,10,40
unimodal median,206.2582498,200,10,40
unimodal median,189.4584007,200,10,40
unimodal median,201.4688389,200,10,40
unimodal median,237.7406633,200,10,40
unimodal median,204.8061393,200,10,40
unimodal median,210.2169861,200,10,40
unimodal median,234.6911644,200,10,40
unimodal median,194.5360327,200,10,40
unimodal median,189.571763,200,10,40
unimodal median,215.8066512,200,10,40
unimodal median,192.6309428,200,10,40
unimodal median,190.9857034,200,10,40
unimodal median,185.2624235,200,10,40
unimodal median,202.0323581,200,10,40
unimodal median,210.5608915,200,10,40
unimodal median,235.7123909,200,10,40
unimodal median,196.8368777,200,10,40
unimodal median,198.4801007,200,10,40
unimodal median,184.0963807,200,10,40
unimodal median,205.9716567,200,10,40
unimodal median,185.6824871,200,10,40
unimodal median,202.609524,200,10,40
unimodal median,205.837712,200,10,40
unimodal median,188.4685203,200,10,40
unimodal median,193.1737641,200,10,40
unimodal median,163.2362126,200,10,40
unimodal median,204.1663459,200,10,40
unimodal median,190.0373307,200,10,40
unimodal median,165.8584389,200,10,40
unimodal median,202.929078,200,20,10
unimodal median,196.7705507,200,20,10
unimodal median,197.1244609,200,20,10
unimodal median,200.3145402,200,20,10
unimodal median,198.6077042,200,20,10
unimodal median,202.4609917,200,20,10
unimodal median,202.2421383,200,20,10
unimodal median,205.2409562,200,20,10
unimodal median,200.7938316,200,20,10
unimodal median,205.9915395,200,20,10
unimodal median,199.7724181,200,20,10
unimodal median,202.0697804,200,20,10
unimodal median,200.4010163,200,20,10
unimodal median,198.4916029,200,20,10
unimodal median,196.2643975,200,20,10
unimodal median,204.8796586,200,20,10
unimodal median,199.0586677,200,20,10
unimodal median,203.3277199,200,20,10
unimodal median,201.5043279,200,20,10
unimodal median,198.2935192,200,20,10
unimodal median,207.7863501,200,20,10
unimodal median,195.4385054,200,20,10
unimodal median,202.0756366,200,20,10
unimodal median,198.5235242,200,20,10
unimodal median,199.7263374,200,20,10
unimodal median,199.0246658,200,20,10
unimodal median,193.1661218,200,20,10
unimodal median,203.1042294,200,20,10
unimodal median,199.1916755,200,20,10
unimodal median,199.9089619,200,20,10
unimodal median,196.9922337,200,20,20
unimodal median,190.3027841,200,20,20
unimodal median,199.7713435,200,20,20
unimodal median,198.4258744,200,20,20
unimodal median,211.853451,200,20,20
unimodal median,196.7553449,200,20,20
unimodal median,193.4316014,200,20,20
unimodal median,193.6033859,200,20,20
unimodal median,205.5365953,200,20,20
unimodal median,194.2413096,200,20,20
unimodal median,203.6584925,200,20,20
unimodal median,191.3255191,200,20,20
unimodal median,204.0894633,200,20,20
unimodal median,202.0510366,200,20,20
unimodal median,201.137893,200,20,20
unimodal median,192.5651346,200,20,20
unimodal median,198.4126591,200,20,20
unimodal median,200.6159337,200,20,20
unimodal median,205.0938561,200,20,20
unimodal median,199.9254359,200,20,20
unimodal median,204.3505023,200,20,20
unimodal median,203.0388226,200,20,20
unimodal median,208.0944557,200,20,20
unimodal median,200.6947499,200,20,20
unimodal median,205.0476793,200,20,20
unimodal median,206.5072148,200,20,20
unimodal median,199.1356905,200,20,20
unimodal median,193.0845921,200,20,20
unimodal median,209.0047447,200,20,20
unimodal median,201.5258258,200,20,20
unimodal median,204.132906,200,20,40
unimodal median,199.114956,200,20,40
unimodal median,199.5388967,200,20,40
unimodal median,211.2338236,200,20,40
unimodal median,198.5489424,200,20,40
unimodal median,217.4941336,200,20,40
unimodal median,206.3547279,200,20,40
unimodal median,216.3950622,200,20,40
unimodal median,213.9578839,200,20,40
unimodal median,201.1218577,200,20,40
unimodal median,203.9476893,200,20,40
unimodal median,209.6035775,200,20,40
unimodal median,197.303898,200,20,40
unimodal median,210.5035085,200,20,40
unimodal median,196.9304962,200,20,40
unimodal median,187.260307,200,20,40
unimodal median,199.3885915,200,20,40
unimodal median,186.7439375,200,20,40
unimodal median,199.7482928,200,20,40
unimodal median,196.513744,200,20,40
unimodal median,195.263439,200,20,40
unimodal median,195.9523644,200,20,40
unimodal median,196.4164838,200,20,40
unimodal median,195.3996657,200,20,40
unimodal median,189.6115152,200,20,40
unimodal median,231.3707885,200,20,40
unimodal median,215.4557096,200,20,40
unimodal median,203.3008708,200,20,40
unimodal median,203.0389919,200,20,40
unimodal median,179.9202759,200,20,40
unimodal median,198.1370127,200,50,10
unimodal median,202.2884304,200,50,10
unimodal median,199.5352408,200,50,10
unimodal median,200.835918,200,50,10
unimodal median,197.8551189,200,50,10
unimodal median,200.2894886,200,50,10
unimodal median,200.4351175,200,50,10
unimodal median,198.9284066,200,50,10
unimodal median,198.1543485,200,50,10
unimodal median,197.9891694,200,50,10
unimodal median,199.3909893,200,50,10
unimodal median,201.7167778,200,50,10
unimodal median,199.8296989,200,50,10
