"","x"
"129",182.314569778356
"130",183.161509392213
"131",184.161345437262
"132",183.289863110047
"133",182.725714984489
"134",182.355330348922
"135",183.680357041253
"136",182.774443297244
"137",183.428903788955
"138",183.104052659652
"139",183.477878620653
"140",182.775667990687
"141",183.59666627244
"142",182.901561871649
"143",182.877696068346
"144",183.294961852929
"145",182.913830736013
"146",183.736169883734
"147",182.899438544259
"148",182.32793353204
"149",183.082622043791
"150",183.771335494189
"151",182.974910199897
"152",182.896144516946
"153",182.983217699532
"154",182.919018721332
"155",183.131069694662
"156",183.660977187011
"157",182.748930228676
"158",183.095849666863
"159",182.655718902914
"160",182.462517332765
"161",183.739663620399
"162",183.323470721119
"163",183.730422523973
"164",182.990770148909
"165",183.119261608638
"166",183.462154803897
"167",182.575586428197
"168",183.200989504298
"169",182.751907476433
"170",183.198544125421
"171",183.879116450442
"172",183.261615068713
"173",182.718768741255
"174",183.252615877744
"175",182.793603846409
"176",182.347648721242
"177",183.694237524135
"178",183.696271914067
"179",183.441660782785
"180",182.929090099689
"181",182.980598987313
"182",183.018738783836
"183",183.523429650748
"184",183.152852313779
"185",182.48213428221
"186",182.681980121164
"187",182.664867997446
"188",182.987589722312
"189",182.56799680503
"190",183.122292277591
"191",182.970120813873
"192",182.023668544359
"193",183.16629905985
"194",182.38439467171
"195",182.487366564257
"196",182.963431381566
"197",183.04220333484
"198",183.544499668345
"199",182.897111258378
"200",182.48006993529
"201",182.909926127488
"202",182.326323640493
"203",182.734287557577
"204",182.76296386111
"205",183.003449415131
"206",183.591002740679
"207",183.617819897553
"208",183.129479247922
"209",182.848926370804
"210",182.910760466816
"211",182.451222319455
"212",182.662559039343
"213",182.960912438975
"214",183.27202820489
"215",182.981336151401
"216",183.161736860938
"217",182.478208720524
"218",182.92648844542
"219",182.055493557958
"220",182.906379179597
"221",182.354186056605
"222",182.891161388722
"223",183.103351961026
"224",183.428969444663
"225",182.919252645884
"226",182.620567994392
"227",182.760951663245
"228",182.907782308335
"229",182.59637153175
"230",182.489692875203
"231",183.387417585348
"232",182.787498886109
"233",182.73364023469
"234",182.671524652322
"235",183.008421494156
"236",183.537037394955
"237",183.064615371964
"238",182.907872298748
"239",182.685875891196
"240",183.750334694615
"241",183.263079620596
"242",183.716403506324
"243",182.591353254065
"244",182.93029267346
"245",182.75255028088
"246",182.890743669508
"247",182.973116399043
"248",182.790088679978
"249",182.789757553616
"250",183.037620007398
"251",183.559126009038
"252",182.714930534196
"253",182.966958936609
"254",182.753697316566
"255",182.746207344638
"256",182.707165999317
"257",182.697939894673
"258",182.781253244291
"259",182.821054504091
"260",182.987265461937
"261",183.103074283897
"262",183.217871019659
"263",183.274197425938
"264",182.710620388175
"265",182.561658062959
"266",182.719009733873
"267",183.449206059348
"268",183.034835556789
"269",183.108480832423
"270",183.61195024168
"271",182.770330833475
"272",183.242688863422
"273",183.413310289208
"274",183.356924227718
"275",183.142938940636
"276",182.372993399915
"277",182.893645817367
"278",183.317074125748
"279",183.058114032145
"280",182.881831375236
"281",184.033605565034
"282",182.942344768072
"283",182.814676714755
"284",183.357336087032
"285",182.890039580723
"286",183.042885006102
"287",183.051469162293
"288",182.906477632116
"289",183.481848121516
"290",182.689894621291
"291",183.01113185992
"292",183.019914785163
"293",183.368848125711
"294",183.2235335028
"295",183.455909333764
"296",184.041867941658
"297",183.075165523497
"298",183.126565199574
"299",182.570705007805
"300",182.958523864325
"301",183.210884209076
"302",182.876256152367
"303",183.175483627626
"304",183.365848041055
"305",182.605455047804
"306",183.401206502738
"307",183.113303515958
"308",182.74681154144
"309",183.391669213594
"310",183.548138398868
"311",182.950094464035
"312",182.895600909796
"313",183.347125614373
"314",183.028313718398
"315",182.539634488236
"316",183.165283543584
"317",183.114278741254
"318",183.001327893523
"319",182.678461469744
"320",182.415481025993
"321",183.462385092864
"322",182.655069632526
"323",182.999017476653
"324",183.008160735723
"325",183.000810159303
"326",182.840502325156
"327",182.967799225091
"328",182.660768569666
"329",183.052209689019
"330",182.693879328728
"331",182.468471612235
"332",183.26132208931
"333",182.914696199969
"334",182.67504778358
"335",182.951225981751
"336",183.171575375041
"337",183.289725120709
"338",182.665583577391
"339",182.360062504842
"340",183.160927026274
"341",182.814719200473
"342",183.10332597583
"343",183.047699069066
"344",183.78544640175
"345",183.271654513459
"346",183.086557259673
"347",182.439352024385
"348",183.435332982021
"349",182.589158674884
"350",183.209310584602
"351",182.941432886159
"352",182.49655557769
"353",183.035490457643
"354",182.524384182146
"355",182.457954635176
"356",182.918540162109
"357",183.118236535608
"358",182.966975634163
"359",182.534030585712
"360",183.025083742064
"361",182.932179770186
"362",182.976136721882
"363",183.180528627642
"364",182.9977213848
"365",183.296292618347
"366",183.341369429015
"367",183.41706213051
"368",182.884686690305
"369",182.946929682418
"370",182.797154444582
"371",182.889766964337
"372",183.155239985855
